order_id,order_date,period,customer_id,product_id,quantity,unit_price_eur,line_amount_eur,collection,category,period_rank
ORD00031,2025-01-01,2025Q1,28728463,1092-01lola,2,6.35,12.7,Lola Games Party Hard,other,1
ORD00031,2025-01-01,2025Q1,28728463,9021-09lola,1,17.05,17.05,Lola Games Take it Easy,vaginal_balls,1
ORD00040,2025-01-01,2025Q1,83197857,4000-10lola,3,2.61,7.83,Lola Games Natural Wellness,other,1
ORD00102,2025-01-01,2025Q1,36687537,6000-01lola,4,5.9,23.6,Lola Games Nudes,dildo,1
ORD00102,2025-01-01,2025Q1,36687537,8008-01lola,3,2.75,8.25,Lola games Spice It Up,anal,1
ORD00102,2025-01-01,2025Q1,36687537,8018-01lola,2,7.87,15.74,Lola games Spice It Up,anal,1
ORD00124,2025-01-01,2025Q1,39587039,2040-02lola,4,9.18,36.72,Lola Games Flow,dildo,1
ORD00124,2025-01-01,2025Q1,39587039,2101-08lola,3,8.21,24.63,Lola games Satisfaction,masturbator,1
ORD00124,2025-01-01,2025Q1,39587039,5002-03lola,4,2.77,11.08,Lola games First Time,anal,1
ORD00296,2025-01-01,2025Q1,35808537,4000-06lola,4,2.61,10.44,Lola Games Natural Wellness,other,1
ORD00296,2025-01-01,2025Q1,35808537,7371-03lola,2,4.1,8.2,Lola Games Marshmallow,masturbator,1
ORD00296,2025-01-01,2025Q1,35808537,7705-03indeep,2,6.91,13.82,Indeep,other,1
ORD00228,2025-01-02,2025Q1,91030736,1089-01lola,3,4.14,12.42,Lola Games Party Hard,other,1
ORD00228,2025-01-02,2025Q1,91030736,4000-13lola,6,2.61,15.66,Lola Games Natural Wellness,other,1
ORD00228,2025-01-02,2025Q1,91030736,4107-03lola,5,3.13,15.65,Lola games First Time,anal,1
ORD00228,2025-01-02,2025Q1,91030736,4108-01lola,2,2.79,5.58,Lola games First Time,anal,1
ORD00228,2025-01-02,2025Q1,91030736,8017-04lola,4,7.7,30.8,Lola games Spice It Up,anal,1
ORD00456,2025-01-02,2025Q1,46231783,1202-03lola,6,14.06,84.36,Lola Games Pure Passion,other,1
ORD00456,2025-01-02,2025Q1,46231783,2103-01lola,4,10.85,43.4,Lola games Satisfaction,masturbator,1
ORD00456,2025-01-02,2025Q1,46231783,4009-04lola,6,3.73,22.38,Lola games Diamond,anal,1
ORD00456,2025-01-02,2025Q1,46231783,8015-02lola,2,8.96,17.92,Lola games Spice It Up,anal,1
ORD00505,2025-01-02,2025Q1,45935572,1201-02lola,2,8.69,17.38,Lola Games Pure Passion,other,1
ORD00505,2025-01-02,2025Q1,45935572,5002-02lola,1,2.77,2.77,Lola games First Time,anal,1
ORD00135,2025-01-03,2025Q1,89089901,2102-07lola,3,6.43,19.29,Lola games Satisfaction,masturbator,1
ORD00135,2025-01-03,2025Q1,89089901,4021-02lola,3,4.5,13.5,Lola games Diamond,anal,1
ORD00135,2025-01-03,2025Q1,89089901,4101-03lola,2,3.04,6.08,Lola games First Time,anal,1
ORD00135,2025-01-03,2025Q1,89089901,7372-02lola,5,4.1,20.5,Lola Games Marshmallow,masturbator,1
ORD00135,2025-01-03,2025Q1,89089901,9021-07lola,3,17.05,51.15,Lola Games Take it Easy,vaginal_balls,1
ORD00432,2025-01-03,2025Q1,31931511,4207-03lola,4,2.7,10.8,Lola Games Back Door Collection Black Edition,anal,1
